Depth,Year,Site,Frequency
10,2020,Harrison Cove,36.56097561
20,2020,Harrison Cove,48.43902439
30,2020,Harrison Cove,9.341463415
40,2020,Harrison Cove,2.170731707
50,2020,Harrison Cove,0.780487805
60,2020,Harrison Cove,0.536585366
70,2020,Harrison Cove,0.146341463
80,2020,Harrison Cove,0.170731707
90,2020,Harrison Cove,0.146341463
100,2020,Harrison Cove,0.512195122
110,2020,Harrison Cove,1.195121951
10,2020,Moraine,26.74976031
20,2020,Moraine,24.86417386
30,2020,Moraine,8.405241291
40,2020,Moraine,5.177372963
50,2020,Moraine,3.739213806
60,2020,Moraine,4.026845638
70,2020,Moraine,5.720677533
80,2020,Moraine,6.040268456
90,2020,Moraine,7.478427613
100,2020,Moraine,5.305209332
110,2020,Moraine,2.492809204
