ID,Site,Year,Day,Hour,Dive Count
HC882,Harrison Cove,2019,2,17,32
HC882,Harrison Cove,2019,2,18,44
HC882,Harrison Cove,2019,2,19,43
HC882,Harrison Cove,2019,2,20,71
HC882,Harrison Cove,2019,2,21,3
PenguCam,Harrison Cove,2019,1,6,11
PenguCam,Harrison Cove,2019,1,7,27
PenguCam,Harrison Cove,2019,1,8,14
PenguCam,Harrison Cove,2019,1,9,48
PenguCam,Harrison Cove,2019,1,10,46
PenguCam,Harrison Cove,2019,1,11,34
PenguCam,Harrison Cove,2019,1,12,26
PenguCam,Harrison Cove,2019,1,13,18
PenguCam,Harrison Cove,2019,1,14,10
PenguCam,Harrison Cove,2019,1,15,12
PenguCam,Harrison Cove,2019,1,16,18
PenguCam,Harrison Cove,2019,1,17,20
PenguCam,Harrison Cove,2019,1,18,23
PenguCam,Harrison Cove,2019,1,19,37
PenguCam,Harrison Cove,2019,1,20,56
PenguCam,Harrison Cove,2019,2,6,21
PenguCam,Harrison Cove,2019,2,7,32
PenguCam,Harrison Cove,2019,2,8,26
PenguCam,Harrison Cove,2019,2,9,20
PenguCam,Harrison Cove,2019,2,10,20
PenguCam,Harrison Cove,2019,2,11,25
PenguCam,Harrison Cove,2019,2,12,46
PenguCam,Harrison Cove,2019,2,13,42
PenguCam,Harrison Cove,2019,2,14,43
PenguCam,Harrison Cove,2019,2,15,45
PenguCam,Harrison Cove,2019,2,16,34
PenguCam,Harrison Cove,2019,2,17,27
PenguCam,Harrison Cove,2019,2,18,24
PenguCam,Harrison Cove,2019,2,19,33
PenguCam,Harrison Cove,2019,2,20,65
PenguCam,Harrison Cove,2019,2,21,6
MO02,Moraine,2019,1,9,18
MO02,Moraine,2019,1,10,25
MO02,Moraine,2019,1,11,44
MO02,Moraine,2019,1,12,43
MO02,Moraine,2019,1,13,31
MO02,Moraine,2019,1,14,22
MO02,Moraine,2019,1,15,25
MO02,Moraine,2019,1,16,97
MO02,Moraine,2019,1,17,70
MO02,Moraine,2019,1,18,41
MO02,Moraine,2019,1,19,58
MO02,Moraine,2019,1,20,64
MO02,Moraine,2019,1,21,17
MO02,Moraine,2019,1,22,8
MO02,Moraine,2019,1,23,4
MO02,Moraine,2019,2,2,1
MO02,Moraine,2019,2,3,1
MO02,Moraine,2019,2,4,1
MO02,Moraine,2019,2,5,1
MO02,Moraine,2019,2,6,37
MO02,Moraine,2019,2,7,45
MO02,Moraine,2019,2,8,123
MO02,Moraine,2019,2,9,146
MO02,Moraine,2019,2,10,113
MO02,Moraine,2019,2,11,19
MO02,Moraine,2019,2,12,20
MO02,Moraine,2019,2,13,22
MO02,Moraine,2019,2,14,26
